id;type ;fn1;fn2;phoneme;word;sentence
1;TEST_AT;AT86bathe.wav;BT86bathe.wav;the;the;He likes to <b><i>bathe</i></b>
2;CONTROL_AT;AC42bathe.wav;BC42bathe.wav;the;the;He likes to <b><i>bathe</i></b>
3;CONTROL_BT;BC42death.wav;AC42death.wav;th;th;What causes sudden <b><i>death</i></b>?
4;TEST_BT;BT86death.wav;AT86death.wav;th;th;What causes sudden <b><i>death</i></b>?
5;CONTROL_BT;BC42look.wav;AC42look.wav;oo;oo;I always <b><i>look</i></b> good
6;CONTROL_BT;BC42lot.wav;AC42lot.wav;o;o;I like him a <b><i>lot</i></b>
7;CONTROL_AT;AC42thanks.wav;BC42thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
8;CONTROL_AT;AC42those.wav;BC42those.wav;th;th;I want <b><i>those</i></b> shoes
9;CONTROL_BT;BC2death.wav;AC2death.wav;th;th;What causes sudden <b><i>death</i></b>?
10;CONTROL_BT; BC2bathe.wav;AC2bathe.wav;the;the;He likes to <b><i>bathe</i></b>
11;CONTROL_BT;BC2look.wav;AC2look.wav;oo;oo;I always <b><i>look</i></b> good
12;CONTROL_BT;BC2lot.wav;AC2lot.wav;o;o;I like him a <b><i>lot</i></b>
13;CONTROL_AT;AC2thanks.wav;BC2thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
14;CONTROL_AT;AC2those.wav;BC2those.wav;th;th;I want <b><i>those</i></b> shoes
15;CONTROL_BT;BC37death.wav;AC37death.wav;th;th;What causes sudden <b><i>death</i></b>?
16;CONTROL_BT; BC37bathe.wav;AC37bathe.wav;the;the;He likes to <b><i>bathe</i></b>
17;CONTROL_BT;BC37look.wav;AC37look.wav;oo;oo;I always <b><i>look</i></b> good
18;CONTROL_BT;BC37lot.wav;AC37lot.wav;o;o;I like him a <b><i>lot</i></b>
19;CONTROL_AT;AC37thanks.wav;BC37thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
20;CONTROL_AT;AC37those.wav;BC37those.wav;th;th;I want <b><i>those</i></b> shoes
21;CONTROL_BT;BC5death.wav;AC5death.wav;th;th;What causes sudden <b><i>death</i></b>?
22;CONTROL_BT;BC5lot.wav;AC5lot.wav;o;o;I like him a <b><i>lot</i></b>
23;CONTROL_AT;AC5thanks.wav;BC5thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
24;CONTROL_AT;AC5those.wav;BC5those.wav;th;th;I want <b><i>those</i></b> shoes
25;CONTROL_BT;BC24death.wav;AC24death.wav;th;th;What causes sudden <b><i>death</i></b>?
26;CONTROL_BT; BC24bathe.wav;AC24bathe.wav;the;the;He likes to <b><i>bathe</i></b>
27;CONTROL_BT;BC24look.wav;AC24look.wav;oo;oo;I always <b><i>look</i></b> good
28;CONTROL_BT;BC24lot.wav;AC24lot.wav;o;o;I like him a <b><i>lot</i></b>
29;CONTROL_AT;AC24thanks.wav;BC24thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
30;CONTROL_AT;AC24those.wav;BC24those.wav;th;th;I want <b><i>those</i></b> shoes
31;TEST_AT;AT86look.wav;BT86look.wav;oo;oo;I always <b><i>look</i></b> good
32;TEST_AT;AT86lot.wav;BT86lot.wav;o;o;I like him a <b><i>lot</i></b>
33;TEST_BT;BT86thanks.wav;AT86thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
34;TEST_BT;BT86those.wav;AT86those.wav;th;th;I want <b><i>those</i></b> shoes
35;TEST_RT;RT86bathe.wav;AT86bathe.wav;the;the;He likes to <b><i>bathe</i></b>
36;TEST_AT;AT86death.wav;RT86death.wav;th;th;What causes sudden <b><i>death</i></b>?
37;TEST_RT;RT86look.wav;AT86look.wav;oo;oo;I always <b><i>look</i></b> good
38;TEST_AT;AT86lot.wav;RT86lot.wav;o;o;I like him a <b><i>lot</i></b>
39;TEST_AT;AT86thanks.wav;RT86thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
40;TEST_AT;AT86those.wav;RT86those.wav;th;th;I want <b><i>those</i></b> shoes
41;TEST_RT;RT86bathe.wav;BT86bathe.wav;the;the;He likes to <b><i>bathe</i></b>
42;TEST_RT;RT86death.wav;BT86death.wav;th;th;What causes sudden <b><i>death</i></b>?
43;TEST_BT;BT86look.wav;RT86look.wav;oo;oo;I always <b><i>look</i></b> good
44;TEST_RT;RT86lot.wav;BT86lot.wav;o;o;I like him a <b><i>lot</i></b>
45;TEST_BT;BT86thanks.wav;RT86thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
46;TEST_RT;RT86those.wav;BT86those.wav;th;th;I want <b><i>those</i></b> shoes
47;TEST_AT;AT52bathe.wav;BT52bathe.wav;the;the;He likes to <b><i>bathe</i></b>
48;TEST_BT;BT52death.wav;AT52death.wav;th;th;What causes sudden <b><i>death</i></b>?
49;TEST_AT;AT52look.wav;BT52look.wav;oo;oo;I always <b><i>look</i></b> good
50;TEST_AT;AT52lot.wav;BT52lot.wav;o;o;I like him a <b><i>lot</i></b>
51;TEST_BT;BT52thanks.wav;AT52thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
52;TEST_BT;BT52those.wav;AT52those.wav;th;th;I want <b><i>those</i></b> shoes
53;TEST_RT;RT52bathe.wav;AT52bathe.wav;the;the;He likes to <b><i>bathe</i></b>
54;TEST_AT;AT52death.wav;RT52death.wav;th;th;What causes sudden <b><i>death</i></b>?
55;TEST_RT;RT52look.wav;AT52look.wav;oo;oo;I always <b><i>look</i></b> good
56;TEST_AT;AT52lot.wav;RT52lot.wav;o;o;I like him a <b><i>lot</i></b>
57;TEST_AT;AT52thanks.wav;RT52thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
58;TEST_AT;AT52those.wav;RT52those.wav;th;th;I want <b><i>those</i></b> shoes
59;TEST_RT;RT52bathe.wav;BT52bathe.wav;the;the;He likes to <b><i>bathe</i></b>
60;TEST_RT;RT52death.wav;BT52death.wav;th;th;What causes sudden <b><i>death</i></b>?
61;TEST_BT;BT52look.wav;RT52look.wav;oo;oo;I always <b><i>look</i></b> good
62;TEST_RT;RT52lot.wav;BT52lot.wav;o;o;I like him a <b><i>lot</i></b>
63;TEST_BT;BT52thanks.wav;RT52thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
64;TEST_RT;RT52those.wav;BT52those.wav;th;th;I want <b><i>those</i></b> shoes
65;TEST_AT;AT54bathe.wav;BT54bathe.wav;the;the;He likes to <b><i>bathe</i></b>
66;TEST_BT;BT54death.wav;AT54death.wav;th;th;What causes sudden <b><i>death</i></b>?
67;TEST_AT;AT54look.wav;BT54look.wav;oo;oo;I always <b><i>look</i></b> good
68;TEST_AT;AT54lot.wav;BT54lot.wav;o;o;I like him a <b><i>lot</i></b>
69;TEST_BT;BT54thanks.wav;AT54thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
70;TEST_BT;BT54those.wav;AT54those.wav;th;th;I want <b><i>those</i></b> shoes
71;TEST_RT;RT54bathe.wav;AT54bathe.wav;the;the;He likes to <b><i>bathe</i></b>
72;TEST_AT;AT54death.wav;RT54death.wav;th;th;What causes sudden <b><i>death</i></b>?
73;TEST_RT;RT54look.wav;AT54look.wav;oo;oo;I always <b><i>look</i></b> good
74;TEST_AT;AT54lot.wav;RT54lot.wav;o;o;I like him a <b><i>lot</i></b>
75;TEST_AT;AT54thanks.wav;RT54thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
76;TEST_AT;AT54those.wav;RT54those.wav;th;th;I want <b><i>those</i></b> shoes
77;TEST_RT;RT54bathe.wav;BT54bathe.wav;the;the;He likes to <b><i>bathe</i></b>
78;TEST_RT;RT54death.wav;BT54death.wav;th;th;What causes sudden <b><i>death</i></b>?
79;TEST_BT;BT54look.wav;RT54look.wav;oo;oo;I always <b><i>look</i></b> good
80;TEST_RT;RT54lot.wav;BT54lot.wav;o;o;I like him a <b><i>lot</i></b>
81;TEST_BT;BT54thanks.wav;RT54thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
82;TEST_RT;RT54those.wav;BT54those.wav;th;th;I want <b><i>those</i></b> shoes
83;TEST_AT;AT76bathe.wav;BT76bathe.wav;the;the;He likes to <b><i>bathe</i></b>
84;TEST_BT;BT76death.wav;AT76death.wav;th;th;What causes sudden <b><i>death</i></b>?
85;TEST_AT;AT76look.wav;BT76look.wav;oo;oo;I always <b><i>look</i></b> good
86;TEST_AT;AT76lot.wav;BT76lot.wav;o;o;I like him a <b><i>lot</i></b>
87;TEST_BT;BT76thanks.wav;AT76thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
88;TEST_BT;BT76those.wav;AT76those.wav;th;th;I want <b><i>those</i></b> shoes
89;TEST_RT;RT76bathe.wav;AT76bathe.wav;the;the;He likes to <b><i>bathe</i></b>
90;TEST_AT;AT76death.wav;RT76death.wav;th;th;What causes sudden <b><i>death</i></b>?
91;TEST_RT;RT76look.wav;AT76look.wav;oo;oo;I always <b><i>look</i></b> good
92;TEST_AT;AT76lot.wav;RT76lot.wav;o;o;I like him a <b><i>lot</i></b>
93;TEST_AT;AT76thanks.wav;RT76thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
94;TEST_AT;AT76those.wav;RT76those.wav;th;th;I want <b><i>those</i></b> shoes
95;TEST_RT;RT76bathe.wav;BT76bathe.wav;the;the;He likes to <b><i>bathe</i></b>
96;TEST_RT;RT76death.wav;BT76death.wav;th;th;What causes sudden <b><i>death</i></b>?
97;TEST_BT;BT76look.wav;RT76look.wav;oo;oo;I always <b><i>look</i></b> good
98;TEST_RT;RT76lot.wav;BT76lot.wav;o;o;I like him a <b><i>lot</i></b>
99;TEST_BT;BT76thanks.wav;RT76thanks.wav;th;th;He did not even say <b><i>thanks</i></b>
100;TEST_RT;RT76those.wav;BT76those.wav;th;th;I want <b><i>those</i></b> shoes
101;TEST_AT;AT57bathe.wav;BT57bathe.wav;the;the;He likes to <b><i>bathe</i></b>
102;TEST_BT;BT57death.wav;AT57death.wav;th;th;What causes sudden <b><i>death</i></b>?
